Fecha,emisions,IGAE,CETES28d
01/03/2019,726845410,99.2051,8.02
01/04/2019,736224251,99.661,7.78
01/05/2019,737670371,99.2492,8.07
01/06/2019,752907717,99.7178,8.25
01/07/2019,744015796,99.5313,8.14
01/08/2019,742952093,99.6157,8.01
01/09/2019,738261292,100.0682,7.72
01/10/2019,733872916,99.0316,7.66
01/11/2019,746755420,99.2487,7.47
01/12/2019,742618465,99.0461,7.12
01/01/2020,739456296,99.9356,7.12
01/02/2020,741714707,99.186,6.96
01/03/2020,738109239,95.6011,6.81
01/04/2020,707790548,77.6505,6.09
01/05/2020,699981073,76.1247,5.47
01/06/2020,700921091,85.1373,5.06
01/07/2020,694904181,89.5054,4.82
01/08/2020,700507155,92.1237,4.49
01/09/2020,701616222,94.5977,4.38
01/10/2020,701205442,95.6169,4.2
01/11/2020,700113000,96.3778,4.23
01/12/2020,705257085,96.0712,4.27
01/01/2021,702412445,96.165,4.22
01/02/2021,699200535,95.8797,4.12
01/03/2021,696233289,97.3071,4.05
01/04/2021,687361389,97.25,4.07
01/05/2021,705269056,97.2398,4.06
01/06/2021,696620552,97.0478,4.02
01/07/2021,701208313,96.6967,4.32
01/08/2021,699560204,95.9493,4.46
01/09/2021,706400684,95.7867,4.55
01/10/2021,722143089,96.4452,4.84
01/11/2021,712316355,97.0511,5.05
01/12/2021,714178819,97.6499,5.29
01/01/2022,714811573,98.3697,5.53
01/02/2022,717276615,98.7795,5.87
01/03/2022,714326289,98.8895,6.31
01/04/2022,717394728,99.9089,6.56
01/05/2022,722369561,99.7672,6.91
01/06/2022,724057218,99.4862,7.31
01/07/2022,740061261,99.9346,7.76
01/08/2022,746505026,100.4888,8.25
01/09/2022,738463578,100.6052,8.7
01/10/2022,745642114,101.0814,8.93
01/11/2022,778108566,101.6015,9.42
01/12/2022,795525463,102.4934,9.96
01/01/2023,795821503,102.7034,10.61
01/02/2023,783806047,102.2932,10.92
01/03/2023,801997310,101.5365,11.23
01/04/2023,799434445,103.2335,11.29
01/05/2023,793363899,103.2024,11.32
01/06/2023,807986162,103.5971,11.16
01/07/2023,814114449,103.4816,11.22
01/08/2023,834808472,103.9539,11.16
01/09/2023,837532453,104.7705,11.08
01/10/2023,847235314,105.0468,11.08
01/11/2023,850937134,104.1757,10.89
01/12/2023,861323331,104.6601,11.21
01/01/2024,871198046,103.9491,11.29
01/02/2024,882660472,104.6082,11.05
01/03/2024,898160002,104.9276,11.02
01/04/2024,907889596,104.3645,10.97
01/05/2024,924786604,105.0267,10.99
01/06/2024,927436283,104.9639,10.97
01/07/2024,932457760,105.5458,10.92
01/08/2024,933418760,105.1897,10.76
01/09/2024,947762839,105.3702,10.44
01/10/2024,956793558,104.5683,10.24
01/11/2024,961212144,104.8401,10.05
01/12/2024,958446629,103.9028,9.85
01/01/2025,956930375,104.1287,9.86
01/02/2025,968159401,105.1752,9.45
01/03/2025,973384221,104.8017,9.1
