ByM_lag0,ByM_lag1,ByM_lag2,i_lag0,y_lag0,inpc_lag0,i_lag1,y_lag1,inpc_lag1
1352869.144,1353026.215,1369986.826,7.05,109.5663,96.093515,7.04,110.9833,95.793768
1368872.328,1352869.144,1353026.215,7.04,111.1187,96.698269,7.05,109.5663,96.093515
1405915.353,1368872.328,1352869.144,7.03,111.7746,97.695174,7.04,111.1187,96.698269
1542611.15,1405915.353,1368872.328,7.22,113.1319,98.272883,7.03,111.7746,97.695174
1481027.34,1542611.15,1405915.353,7.29,111.8226,98.795,7.22,113.1319,98.272883
1475977.346,1481027.34,1542611.15,7.49,112.2859,99.171374,7.29,111.8226,98.795
1519655.129,1475977.346,1481027.34,7.57,113.1739,99.492157,7.49,112.2859,99.171374
1492536.593,1519655.129,1475977.346,7.54,112.7879,99.154847,7.57,113.1739,99.492157
1502800.404,1492536.593,1519655.129,7.58,112.8895,98.99408,7.54,112.7879,99.154847
1532412.481,1502800.404,1492536.593,7.64,112.9233,99.376465,7.58,112.8895,98.99408
1526363.143,1532412.481,1502800.404,7.81,113.2002,99.909099,7.64,112.9233,99.376465
1518453.527,1526363.143,1532412.481,7.8,113.665,100.492,7.81,113.2002,99.909099
1506101.408,1518453.527,1526363.143,7.81,113.4042,100.917,7.8,113.665,100.492
1525826.761,1506101.408,1518453.527,7.81,113.1874,101.44,7.81,113.4042,100.917
1564619.117,1525826.761,1506101.408,7.93,113.1409,102.303,7.81,113.1874,101.44
1673205.362,1564619.117,1525826.761,8.19,112.5434,103.02,7.93,113.1409,102.303
1602739.439,1673205.362,1564619.117,8.26,113.3163,103.108,8.19,112.5434,103.02
1577930.231,1602739.439,1673205.362,8.26,113.1533,103.079,8.26,113.3163,103.108
1559571.976,1577930.231,1602739.439,8.26,112.2819,103.476,8.26,113.1533,103.079
1569275.22,1559571.976,1577930.231,8.27,112.6137,103.531,8.26,112.2819,103.476
1572136.933,1569275.22,1559571.976,8.29,112.0473,103.233,8.27,112.6137,103.531
1573605.005,1572136.933,1569275.22,8.27,112.5252,103.299,8.29,112.0473,103.233
1560512.067,1573605.005,1572136.933,8.28,112.5295,103.687,8.27,112.5252,103.299
1562279.696,1560512.067,1573605.005,8.16,113.2807,103.67,8.28,112.5295,103.687
1552833.184,1562279.696,1560512.067,8.07,113.3664,103.942,8.16,113.2807,103.67
1562246.04,1552833.184,1562279.696,7.78,112.7837,104.503,8.07,113.3664,103.942
1620559.494,1562246.04,1552833.184,7.76,112.2185,105.346,7.78,112.7837,104.503
1740933.991,1620559.494,1562246.04,7.46,112.0799,105.934,7.76,112.2185,105.346
1697189.731,1740933.991,1620559.494,7.26,113.3459,106.447,7.46,112.0799,105.934
1669855.25,1697189.731,1740933.991,7.12,111.7153,106.889,7.26,113.3459,106.447
1742861.946,1669855.25,1697189.731,6.89,109.5681,106.838,7.12,111.7153,106.889
1790774.578,1742861.946,1669855.25,6.35,90.4875,105.755,6.89,109.5681,106.838
1849226.115,1790774.578,1742861.946,5.8,87.4884,106.162,6.35,90.4875,105.755
1856210.43,1849226.115,1790774.578,5.49,96.1494,106.743,5.8,87.4884,106.162
1913925.998,1856210.43,1849226.115,5.01,101.5983,107.444,5.49,96.1494,106.743
1912089.949,1913925.998,1856210.43,4.73,104.1788,107.867,5.01,101.5983,107.444
1897192.422,1912089.949,1913925.998,4.47,106.6436,108.114,4.73,104.1788,107.867
1918792.995,1897192.422,1912089.949,4.25,107.545,108.774,4.47,106.6436,108.114
1988458.226,1918792.995,1897192.422,4.27,108.0402,108.856,4.25,107.545,108.774
2117034.117,1988458.226,1918792.995,4.29,108.1477,109.271,4.27,108.0402,108.856
2100801.293,2117034.117,1988458.226,4.3,107.8352,110.21,4.29,108.1477,109.271
2087441.443,2100801.293,2117034.117,4.11,106.9011,110.907,4.3,107.8352,110.21
2177188.857,2087441.443,2100801.293,4.02,110.5908,111.824,4.11,106.9011,110.907
2136456.494,2177188.857,2087441.443,4.01,109.696,112.19,4.02,110.5908,111.824
2145575.143,2136456.494,2177188.857,4.04,110.0624,112.419,4.01,109.696,112.19
2152384.942,2145575.143,2136456.494,4.04,108.9879,113.018,4.04,110.0624,112.419
2174415.19,2152384.942,2145575.143,4.28,109.4723,113.682,4.04,108.9879,113.018
2172436.018,2174415.19,2152384.942,4.41,108.3709,113.899,4.28,109.4723,113.682
2198220.604,2172436.018,2174415.19,4.58,108.1752,114.601,4.41,108.3709,113.899
2218707.576,2198220.604,2172436.018,4.8,107.949,115.561,4.58,108.1752,114.601
2282773.308,2218707.576,2198220.604,4.91,108.6065,116.884,4.8,107.949,115.561
2439805.472,2282773.308,2218707.576,5.19,109.4489,117.308,4.91,108.6065,116.884
2431877.583,2439805.472,2282773.308,5.5,109.9072,118.002,5.19,109.4489,117.308
2437814.975,2431877.583,2439805.472,5.8,109.8384,118.981,5.5,109.9072,118.002
2510318.331,2437814.975,2431877.583,6.1,110.2128,120.159,5.8,109.8384,118.981
2473000.775,2510318.331,2437814.975,6.53,,120.809,6.1,110.2128,120.159
